Flight_number,Fare_code,Amount,Restrictions
9443,business,723,refundable
9443,business,648,non-refundable
9443,first_class,1042,refundable
9443,first_class,942,non-refundable
8408,coach,288,refundable
8408,coach,238,non-refundable
8408,business,772,refundable
8408,business,697,non-refundable
8408,first_class,924,refundable
8408,first_class,824,non-refundable
5011,coach,313,refundable
5011,coach,263,non-refundable
5011,business,575,refundable
5011,business,500,non-refundable
5011,first_class,904,refundable
5011,first_class,804,non-refundable
4886,coach,334,refundable
4886,coach,284,non-refundable
4886,business,628,refundable
4886,business,553,non-refundable
4886,first_class,973,refundable
4886,first_class,873,non-refundable
8071,coach,382,refundable
8071,coach,332,non-refundable
8071,business,665,refundable
8071,business,590,non-refundable
8071,first_class,901,refundable
8071,first_class,801,non-refundable
2803,coach,321,refundable
2803,coach,271,non-refundable
2803,business,707,refundable
2803,business,632,non-refundable
2803,first_class,988,refundable
2803,first_class,888,non-refundable
8065,coach,440,refundable
8065,coach,390,non-refundable
8065,business,773,refundable
8065,business,698,non-refundable
8065,first_class,1085,refundable
8065,first_class,985,non-refundable
9512,coach,381,refundable
9512,coach,331,non-refundable
9512,business,739,refundable
9512,business,664,non-refundable
9512,first_class,1013,refundable
9512,first_class,913,non-refundable
4594,coach,396,refundable
4594,coach,346,non-refundable
4594,business,578,refundable
4594,business,503,non-refundable
4594,first_class,972,refundable
4594,first_class,872,non-refundable
7410,coach,348,refundable
7410,coach,298,non-refundable
7410,business,589,refundable
7410,business,514,non-refundable
7410,first_class,905,refundable
7410,first_class,805,non-refundable
9639,coach,252,refundable
9639,coach,202,non-refundable
9639,business,582,refundable
9639,business,507,non-refundable
9639,first_class,1051,refundable
9639,first_class,951,non-refundable
6915,coach,408,refundable
6915,coach,358,non-refundable
6915,business,670,refundable
6915,business,595,non-refundable
6915,first_class,1014,refundable
6915,first_class,914,non-refundable
2424,coach,285,refundable
2424,coach,235,non-refundable
2424,business,736,refundable
2424,business,661,non-refundable
2424,first_class,971,refundable
2424,first_class,871,non-refundable
5433,coach,409,refundable
5433,coach,359,non-refundable
5433,business,596,refundable
5433,business,521,non-refundable
5433,first_class,938,refundable
5433,first_class,838,non-refundable
5462,coach,342,refundable
5462,coach,292,non-refundable
5462,business,762,refundable
5462,business,687,non-refundable
5462,first_class,995,refundable
5462,first_class,895,non-refundable
6846,coach,269,refundable
6846,coach,219,non-refundable
6846,business,720,refundable
6846,business,645,non-refundable
6846,first_class,1065,refundable
6846,first_class,965,non-refundable
2160,coach,426,refundable
2160,coach,376,non-refundable
2160,business,654,refundable
2160,business,579,non-refundable
2160,first_class,1059,refundable
2160,first_class,959,non-refundable
1434,coach,365,refundable
1434,coach,315,non-refundable
1434,business,643,refundable
1434,business,568,non-refundable
1434,first_class,942,refundable
1434,first_class,842,non-refundable
1875,coach,279,refundable
1875,coach,229,non-refundable
1875,business,636,refundable
1875,business,561,non-refundable
1875,first_class,1081,refundable
1875,first_class,981,non-refundable
8796,coach,279,refundable
8796,coach,229,non-refundable
8796,business,697,refundable
8796,business,622,non-refundable
8796,first_class,1019,refundable
8796,first_class,919,non-refundable
372,coach,269,refundable
372,coach,219,non-refundable
372,business,668,refundable
372,business,593,non-refundable
372,first_class,1067,refundable
372,first_class,967,non-refundable
9093,coach,400,refundable
9093,coach,350,non-refundable
9093,business,601,refundable
9093,business,526,non-refundable
9093,first_class,949,refundable
9093,first_class,849,non-refundable
2470,coach,353,refundable
2470,coach,303,non-refundable
2470,business,721,refundable
2470,business,646,non-refundable
2470,first_class,1028,refundable
2470,first_class,928,non-refundable
2908,coach,348,refundable
2908,coach,298,non-refundable
2908,business,713,refundable
2908,business,638,non-refundable
2908,first_class,976,refundable
2908,first_class,876,non-refundable
7611,coach,351,refundable
7611,coach,301,non-refundable
7611,business,588,refundable
7611,business,513,non-refundable
7611,first_class,912,refundable
7611,first_class,812,non-refundable
2525,coach,373,refundable
2525,coach,323,non-refundable
2525,business,669,refundable
2525,business,594,non-refundable
2525,first_class,960,refundable
2525,first_class,860,non-refundable
7456,coach,275,refundable
7456,coach,225,non-refundable
7456,business,693,refundable
7456,business,618,non-refundable
7456,first_class,1081,refundable
7456,first_class,981,non-refundable
5176,coach,438,refundable
5176,coach,388,non-refundable
5176,business,636,refundable
5176,business,561,non-refundable
5176,first_class,937,refundable
5176,first_class,837,non-refundable
564,coach,274,refundable
564,coach,224,non-refundable
564,business,583,refundable
564,business,508,non-refundable
564,first_class,999,refundable
564,first_class,899,non-refundable
4768,coach,357,refundable
4768,coach,307,non-refundable
4768,business,663,refundable
4768,business,588,non-refundable
4768,first_class,915,refundable
4768,first_class,815,non-refundable
8737,coach,442,refundable
8737,coach,392,non-refundable
8737,business,671,refundable
8737,business,596,non-refundable
8737,first_class,1086,refundable
8737,first_class,986,non-refundable
898,coach,360,refundable
898,coach,310,non-refundable
898,business,670,refundable
898,business,595,non-refundable
898,first_class,905,refundable
898,first_class,805,non-refundable
7460,coach,267,refundable
7460,coach,217,non-refundable
7460,business,636,refundable
7460,business,561,non-refundable
7460,first_class,981,refundable
7460,first_class,881,non-refundable
1611,coach,389,refundable
1611,coach,339,non-refundable
1611,business,682,refundable
1611,business,607,non-refundable
1611,first_class,1093,refundable
1611,first_class,993,non-refundable
9825,coach,261,refundable
9825,coach,211,non-refundable
9825,business,730,refundable
9825,business,655,non-refundable
9825,first_class,1036,refundable
9825,first_class,936,non-refundable
7582,coach,358,refundable
7582,coach,308,non-refundable
7582,business,598,refundable
7582,business,523,non-refundable
7582,first_class,1077,refundable
7582,first_class,977,non-refundable
4072,coach,383,refundable
4072,coach,333,non-refundable
4072,business,677,refundable
4072,business,602,non-refundable
4072,first_class,1076,refundable
4072,first_class,976,non-refundable
789,coach,376,refundable
789,coach,326,non-refundable
789,business,661,refundable
789,business,586,non-refundable
789,first_class,1081,refundable
789,first_class,981,non-refundable
1685,coach,253,refundable
1685,coach,203,non-refundable
1685,business,588,refundable
1685,business,513,non-refundable
1685,first_class,1035,refundable
1685,first_class,935,non-refundable
8496,coach,382,refundable
8496,coach,332,non-refundable
8496,business,764,refundable
8496,business,689,non-refundable
8496,first_class,948,refundable
8496,first_class,848,non-refundable
264,coach,391,refundable
264,coach,341,non-refundable
264,business,605,refundable
264,business,530,non-refundable
264,first_class,904,refundable
264,first_class,804,non-refundable
3476,coach,417,refundable
3476,coach,367,non-refundable
3476,business,746,refundable
3476,business,671,non-refundable
3476,first_class,922,refundable
3476,first_class,822,non-refundable
3148,coach,358,refundable
3148,coach,308,non-refundable
3148,business,682,refundable
3148,business,607,non-refundable
3148,first_class,925,refundable
3148,first_class,825,non-refundable
770,coach,371,refundable
770,coach,321,non-refundable
770,business,726,refundable
770,business,651,non-refundable
770,first_class,1046,refundable
770,first_class,946,non-refundable
4054,coach,450,refundable
4054,coach,400,non-refundable
4054,business,695,refundable
4054,business,620,non-refundable
4054,first_class,1013,refundable
4054,first_class,913,non-refundable
6381,coach,294,refundable
6381,coach,244,non-refundable
6381,business,742,refundable
6381,business,667,non-refundable
6381,first_class,1047,refundable
6381,first_class,947,non-refundable
9693,coach,326,refundable
9693,coach,276,non-refundable
9693,business,658,refundable
9693,business,583,non-refundable
9693,first_class,922,refundable
9693,first_class,822,non-refundable
6082,coach,340,refundable
6082,coach,290,non-refundable
6082,business,710,refundable
6082,business,635,non-refundable
6082,first_class,1009,refundable
6082,first_class,909,non-refundable
3864,coach,370,refundable
3864,coach,320,non-refundable
3864,business,616,refundable
3864,business,541,non-refundable
3864,first_class,1024,refundable
3864,first_class,924,non-refundable
9309,coach,353,refundable
9309,coach,303,non-refundable
9309,business,758,refundable
9309,business,683,non-refundable
9309,first_class,943,refundable
9309,first_class,843,non-refundable
6516,coach,299,refundable
6516,coach,249,non-refundable
6516,business,702,refundable
6516,business,627,non-refundable
6516,first_class,1083,refundable
6516,first_class,983,non-refundable
5995,coach,358,refundable
5995,coach,308,non-refundable
5995,business,765,refundable
5995,business,690,non-refundable
5995,first_class,1072,refundable
5995,first_class,972,non-refundable
7412,coach,387,refundable
7412,coach,337,non-refundable
7412,business,606,refundable
7412,business,531,non-refundable
7412,first_class,1011,refundable
7412,first_class,911,non-refundable
9996,coach,253,refundable
9996,coach,203,non-refundable
9996,business,664,refundable
9996,business,589,non-refundable
9996,first_class,934,refundable
9996,first_class,834,non-refundable
1096,coach,277,refundable
1096,coach,227,non-refundable
1096,business,737,refundable
1096,business,662,non-refundable
1096,first_class,1063,refundable
1096,first_class,963,non-refundable
6968,coach,304,refundable
6968,coach,254,non-refundable
6968,business,631,refundable
6968,business,556,non-refundable
6968,first_class,933,refundable
6968,first_class,833,non-refundable
1449,coach,317,refundable
1449,coach,267,non-refundable
1449,business,619,refundable
1449,business,544,non-refundable
1449,first_class,915,refundable
1449,first_class,815,non-refundable
8466,coach,315,refundable
8466,coach,265,non-refundable
8466,business,749,refundable
8466,business,674,non-refundable
8466,first_class,986,refundable
8466,first_class,886,non-refundable
6334,coach,273,refundable
6334,coach,223,non-refundable
6334,business,674,refundable
6334,business,599,non-refundable
6334,first_class,1068,refundable
6334,first_class,968,non-refundable
978,coach,415,refundable
978,coach,365,non-refundable
978,business,759,refundable
978,business,684,non-refundable
978,first_class,984,refundable
978,first_class,884,non-refundable
7159,coach,436,refundable
7159,coach,386,non-refundable
7159,business,662,refundable
7159,business,587,non-refundable
7159,first_class,1020,refundable
7159,first_class,920,non-refundable
7998,coach,385,refundable
7998,coach,335,non-refundable
7998,business,738,refundable
7998,business,663,non-refundable
7998,first_class,1001,refundable
7998,first_class,901,non-refundable
6946,coach,281,refundable
6946,coach,231,non-refundable
6946,business,753,refundable
6946,business,678,non-refundable
6946,first_class,943,refundable
6946,first_class,843,non-refundable
6500,coach,283,refundable
6500,coach,233,non-refundable
6500,business,660,refundable
6500,business,585,non-refundable
6500,first_class,1094,refundable
6500,first_class,994,non-refundable
6813,coach,389,refundable
6813,coach,339,non-refundable
6813,business,644,refundable
6813,business,569,non-refundable
6813,first_class,954,refundable
6813,first_class,854,non-refundable
7814,coach,416,refundable
7814,coach,366,non-refundable
7814,business,702,refundable
7814,business,627,non-refundable
7814,first_class,1049,refundable
7814,first_class,949,non-refundable
6267,coach,361,refundable
6267,coach,311,non-refundable
6267,business,715,refundable
6267,business,640,non-refundable
6267,first_class,1074,refundable
6267,first_class,974,non-refundable
8747,coach,387,refundable
8747,coach,337,non-refundable
8747,business,750,refundable
8747,business,675,non-refundable
8747,first_class,1045,refundable
8747,first_class,945,non-refundable
9034,coach,330,refundable
9034,coach,280,non-refundable
9034,business,675,refundable
9034,business,600,non-refundable
9034,first_class,1041,refundable
9034,first_class,941,non-refundable
907,coach,300,refundable
907,coach,250,non-refundable
907,business,750,refundable
907,business,675,non-refundable
907,first_class,1090,refundable
907,first_class,990,non-refundable
7994,coach,388,refundable
7994,coach,338,non-refundable
7994,business,650,refundable
7994,business,575,non-refundable
7994,first_class,971,refundable
7994,first_class,871,non-refundable
8948,coach,344,refundable
8948,coach,294,non-refundable
8948,business,659,refundable
8948,business,584,non-refundable
8948,first_class,916,refundable
8948,first_class,816,non-refundable
4835,coach,436,refundable
4835,coach,386,non-refundable
4835,business,641,refundable
4835,business,566,non-refundable
4835,first_class,941,refundable
4835,first_class,841,non-refundable
650,coach,343,refundable
650,coach,293,non-refundable
650,business,746,refundable
650,business,671,non-refundable
650,first_class,911,refundable
650,first_class,811,non-refundable
7593,coach,359,refundable
7593,coach,309,non-refundable
7593,business,758,refundable
7593,business,683,non-refundable
7593,first_class,917,refundable
7593,first_class,817,non-refundable
53,coach,274,refundable
53,coach,224,non-refundable
53,business,646,refundable
53,business,571,non-refundable
53,first_class,1005,refundable
53,first_class,905,non-refundable
4042,coach,368,refundable
4042,coach,318,non-refundable
4042,business,738,refundable
4042,business,663,non-refundable
4042,first_class,1060,refundable
4042,first_class,960,non-refundable
5308,coach,338,refundable
5308,coach,288,non-refundable
5308,business,603,refundable
5308,business,528,non-refundable
5308,first_class,1076,refundable
5308,first_class,976,non-refundable
9556,coach,273,refundable
9556,coach,223,non-refundable
9556,business,688,refundable
9556,business,613,non-refundable
9556,first_class,1002,refundable
9556,first_class,902,non-refundable
1969,coach,343,refundable
1969,coach,293,non-refundable
1969,business,661,refundable
1969,business,586,non-refundable
1969,first_class,1089,refundable
1969,first_class,989,non-refundable
8057,coach,323,refundable
8057,coach,273,non-refundable
8057,business,637,refundable
8057,business,562,non-refundable
8057,first_class,929,refundable
8057,first_class,829,non-refundable
1979,coach,345,refundable
1979,coach,295,non-refundable
1979,business,699,refundable
1979,business,624,non-refundable
1979,first_class,954,refundable
1979,first_class,854,non-refundable
2771,coach,410,refundable
2771,coach,360,non-refundable
2771,business,731,refundable
2771,business,656,non-refundable
2771,first_class,1036,refundable
2771,first_class,936,non-refundable
394,coach,445,refundable
394,coach,395,non-refundable
394,business,597,refundable
394,business,522,non-refundable
394,first_class,1031,refundable
394,first_class,931,non-refundable
3628,coach,281,refundable
3628,coach,231,non-refundable
3628,business,689,refundable
3628,business,614,non-refundable
3628,first_class,1014,refundable
3628,first_class,914,non-refundable
4302,coach,345,refundable
4302,coach,295,non-refundable
4302,business,726,refundable
4302,business,651,non-refundable
4302,first_class,926,refundable
4302,first_class,826,non-refundable
8784,coach,264,refundable
8784,coach,214,non-refundable
8784,business,740,refundable
8784,business,665,non-refundable
8784,first_class,954,refundable
8784,first_class,854,non-refundable
5431,coach,253,refundable
5431,coach,203,non-refundable
5431,business,610,refundable
5431,business,535,non-refundable
5431,first_class,1060,refundable
5431,first_class,960,non-refundable
7416,coach,262,refundable
7416,coach,212,non-refundable
7416,business,591,refundable
7416,business,516,non-refundable
7416,first_class,993,refundable
7416,first_class,893,non-refundable
7839,coach,359,refundable
7839,coach,309,non-refundable
7839,business,758,refundable
7839,business,683,non-refundable
7839,first_class,1012,refundable
7839,first_class,912,non-refundable
6634,coach,381,refundable
6634,coach,331,non-refundable
6634,business,713,refundable
6634,business,638,non-refundable
6634,first_class,920,refundable
6634,first_class,820,non-refundable
2977,coach,257,refundable
2977,coach,207,non-refundable
2977,business,742,refundable
2977,business,667,non-refundable
2977,first_class,1064,refundable
2977,first_class,964,non-refundable
727,coach,389,refundable
727,coach,339,non-refundable
727,business,719,refundable
727,business,644,non-refundable
727,first_class,1016,refundable
727,first_class,916,non-refundable
6589,coach,343,refundable
6589,coach,293,non-refundable
6589,business,724,refundable
6589,business,649,non-refundable
6589,first_class,1088,refundable
6589,first_class,988,non-refundable
670,coach,379,refundable
670,coach,329,non-refundable
670,business,742,refundable
670,business,667,non-refundable
670,first_class,1057,refundable
670,first_class,957,non-refundable
9650,coach,380,refundable
9650,coach,330,non-refundable
9650,business,654,refundable
9650,business,579,non-refundable
9650,first_class,1088,refundable
9650,first_class,988,non-refundable
6256,coach,385,refundable
6256,coach,335,non-refundable
6256,business,578,refundable
6256,business,503,non-refundable
6256,first_class,986,refundable
6256,first_class,886,non-refundable
5022,coach,311,refundable
5022,coach,261,non-refundable
5022,business,727,refundable
5022,business,652,non-refundable
5022,first_class,981,refundable
5022,first_class,881,non-refundable
3816,coach,334,refundable
3816,coach,284,non-refundable
3816,business,646,refundable
3816,business,571,non-refundable
3816,first_class,947,refundable
3816,first_class,847,non-refundable
8669,coach,444,refundable
8669,coach,394,non-refundable
8669,business,606,refundable
8669,business,531,non-refundable
8669,first_class,1090,refundable
8669,first_class,990,non-refundable
100,coach,414,refundable
100,coach,364,non-refundable
100,business,584,refundable
100,business,509,non-refundable
100,first_class,1068,refundable
100,first_class,968,non-refundable
1621,coach,303,refundable
1621,coach,253,non-refundable
1621,business,667,refundable
1621,business,592,non-refundable
1621,first_class,1060,refundable
1621,first_class,960,non-refundable
4696,coach,342,refundable
4696,coach,292,non-refundable
4696,business,689,refundable
4696,business,614,non-refundable
4696,first_class,926,refundable
4696,first_class,826,non-refundable
4244,coach,308,refundable
4244,coach,258,non-refundable
4244,business,772,refundable
4244,business,697,non-refundable
4244,first_class,1034,refundable
4244,first_class,934,non-refundable
7950,coach,363,refundable
7950,coach,313,non-refundable
7950,business,632,refundable
7950,business,557,non-refundable
7950,first_class,1009,refundable
7950,first_class,909,non-refundable
5234,coach,405,refundable
5234,coach,355,non-refundable
5234,business,591,refundable
5234,business,516,non-refundable
5234,first_class,931,refundable
5234,first_class,831,non-refundable
6609,coach,372,refundable
6609,coach,322,non-refundable
6609,business,657,refundable
6609,business,582,non-refundable
6609,first_class,1003,refundable
6609,first_class,903,non-refundable
9485,coach,286,refundable
9485,coach,236,non-refundable
9485,business,598,refundable
9485,business,523,non-refundable
9485,first_class,1019,refundable
9485,first_class,919,non-refundable
2301,coach,361,refundable
2301,coach,311,non-refundable
2301,business,721,refundable
2301,business,646,non-refundable
2301,first_class,1013,refundable
2301,first_class,913,non-refundable
9772,coach,410,refundable
9772,coach,360,non-refundable
9772,business,753,refundable
9772,business,678,non-refundable
9772,first_class,1071,refundable
9772,first_class,971,non-refundable
4716,coach,384,refundable
4716,coach,334,non-refundable
4716,business,680,refundable
4716,business,605,non-refundable
4716,first_class,1038,refundable
4716,first_class,938,non-refundable
5284,coach,270,refundable
5284,coach,220,non-refundable
5284,business,721,refundable
5284,business,646,non-refundable
5284,first_class,1092,refundable
5284,first_class,992,non-refundable
1893,coach,423,refundable
1893,coach,373,non-refundable
1893,business,737,refundable
1893,business,662,non-refundable
1893,first_class,928,refundable
1893,first_class,828,non-refundable
5325,coach,442,refundable
5325,coach,392,non-refundable
5325,business,611,refundable
5325,business,536,non-refundable
5325,first_class,1061,refundable
5325,first_class,961,non-refundable
9517,coach,360,refundable
9517,coach,310,non-refundable
9517,business,683,refundable
9517,business,608,non-refundable
9517,first_class,1034,refundable
9517,first_class,934,non-refundable
4827,coach,445,refundable
4827,coach,395,non-refundable
4827,business,712,refundable
4827,business,637,non-refundable
4827,first_class,958,refundable
4827,first_class,858,non-refundable
5302,coach,427,refundable
5302,coach,377,non-refundable
5302,business,685,refundable
5302,business,610,non-refundable
5302,first_class,1017,refundable
5302,first_class,917,non-refundable
6717,coach,320,refundable
6717,coach,270,non-refundable
6717,business,666,refundable
6717,business,591,non-refundable
6717,first_class,1057,refundable
6717,first_class,957,non-refundable
3674,coach,413,refundable
3674,coach,363,non-refundable
3674,business,643,refundable
3674,business,568,non-refundable
3674,first_class,1078,refundable
3674,first_class,978,non-refundable
9277,coach,352,refundable
9277,coach,302,non-refundable
9277,business,671,refundable
9277,business,596,non-refundable
9277,first_class,964,refundable
9277,first_class,864,non-refundable
4467,coach,257,refundable
4467,coach,207,non-refundable
4467,business,743,refundable
4467,business,668,non-refundable
4467,first_class,1013,refundable
4467,first_class,913,non-refundable
8972,coach,256,refundable
8972,coach,206,non-refundable
8972,business,633,refundable
8972,business,558,non-refundable
8972,first_class,1061,refundable
8972,first_class,961,non-refundable
3611,coach,356,refundable
3611,coach,306,non-refundable
3611,business,735,refundable
3611,business,660,non-refundable
3611,first_class,987,refundable
3611,first_class,887,non-refundable
613,coach,446,refundable
613,coach,396,non-refundable
613,business,773,refundable
613,business,698,non-refundable
613,first_class,1051,refundable
613,first_class,951,non-refundable
930,coach,388,refundable
930,coach,338,non-refundable
930,business,628,refundable
930,business,553,non-refundable
930,first_class,984,refundable
930,first_class,884,non-refundable
2825,coach,290,refundable
2825,coach,240,non-refundable
2825,business,621,refundable
2825,business,546,non-refundable
2825,first_class,1073,refundable
2825,first_class,973,non-refundable
723,coach,383,refundable
723,coach,333,non-refundable
723,business,639,refundable
723,business,564,non-refundable
723,first_class,1087,refundable
723,first_class,987,non-refundable
1868,coach,298,refundable
1868,coach,248,non-refundable
1868,business,657,refundable
1868,business,582,non-refundable
1868,first_class,1028,refundable
1868,first_class,928,non-refundable
6838,coach,408,refundable
6838,coach,358,non-refundable
6838,business,617,refundable
6838,business,542,non-refundable
6838,first_class,1066,refundable
6838,first_class,966,non-refundable
6270,coach,376,refundable
6270,coach,326,non-refundable
6270,business,615,refundable
6270,business,540,non-refundable
6270,first_class,1079,refundable
6270,first_class,979,non-refundable
2121,coach,353,refundable
2121,coach,303,non-refundable
2121,business,759,refundable
2121,business,684,non-refundable
2121,first_class,1046,refundable
2121,first_class,946,non-refundable
4584,coach,348,refundable
4584,coach,298,non-refundable
4584,business,706,refundable
4584,business,631,non-refundable
4584,first_class,1049,refundable
4584,first_class,949,non-refundable
5649,coach,265,refundable
5649,coach,215,non-refundable
5649,business,761,refundable
5649,business,686,non-refundable
5649,first_class,1024,refundable
5649,first_class,924,non-refundable
4712,coach,403,refundable
4712,coach,353,non-refundable
4712,business,596,refundable
4712,business,521,non-refundable
4712,first_class,907,refundable
4712,first_class,807,non-refundable
3011,coach,311,refundable
3011,coach,261,non-refundable
3011,business,649,refundable
3011,business,574,non-refundable
3011,first_class,948,refundable
3011,first_class,848,non-refundable
856,coach,288,refundable
856,coach,238,non-refundable
856,business,645,refundable
856,business,570,non-refundable
856,first_class,1006,refundable
856,first_class,906,non-refundable
3747,coach,418,refundable
3747,coach,368,non-refundable
3747,business,650,refundable
3747,business,575,non-refundable
3747,first_class,949,refundable
3747,first_class,849,non-refundable
4647,coach,324,refundable
4647,coach,274,non-refundable
4647,business,648,refundable
4647,business,573,non-refundable
4647,first_class,955,refundable
4647,first_class,855,non-refundable
5254,coach,404,refundable
5254,coach,354,non-refundable
5254,business,581,refundable
5254,business,506,non-refundable
5254,first_class,1002,refundable
5254,first_class,902,non-refundable
3029,coach,427,refundable
3029,coach,377,non-refundable
3029,business,681,refundable
3029,business,606,non-refundable
3029,first_class,1064,refundable
3029,first_class,964,non-refundable
9584,coach,349,refundable
9584,coach,299,non-refundable
9584,business,758,refundable
9584,business,683,non-refundable
9584,first_class,971,refundable
9584,first_class,871,non-refundable
1380,coach,336,refundable
1380,coach,286,non-refundable
1380,business,737,refundable
1380,business,662,non-refundable
1380,first_class,1076,refundable
1380,first_class,976,non-refundable
8419,coach,416,refundable
8419,coach,366,non-refundable
8419,business,637,refundable
8419,business,562,non-refundable
8419,first_class,1013,refundable
8419,first_class,913,non-refundable
1596,coach,393,refundable
1596,coach,343,non-refundable
1596,business,735,refundable
1596,business,660,non-refundable
1596,first_class,987,refundable
1596,first_class,887,non-refundable
2270,coach,267,refundable
2270,coach,217,non-refundable
2270,business,621,refundable
2270,business,546,non-refundable
2270,first_class,980,refundable
2270,first_class,880,non-refundable
3637,coach,356,refundable
3637,coach,306,non-refundable
3637,business,726,refundable
3637,business,651,non-refundable
3637,first_class,1008,refundable
3637,first_class,908,non-refundable
3229,coach,287,refundable
3229,coach,237,non-refundable
3229,business,607,refundable
3229,business,532,non-refundable
3229,first_class,1020,refundable
3229,first_class,920,non-refundable
7698,coach,339,refundable
7698,coach,289,non-refundable
7698,business,650,refundable
7698,business,575,non-refundable
7698,first_class,913,refundable
7698,first_class,813,non-refundable
8611,coach,392,refundable
8611,coach,342,non-refundable
8611,business,685,refundable
8611,business,610,non-refundable
8611,first_class,982,refundable
8611,first_class,882,non-refundable
3044,coach,319,refundable
3044,coach,269,non-refundable
3044,business,669,refundable
3044,business,594,non-refundable
3044,first_class,1051,refundable
3044,first_class,951,non-refundable
3542,coach,379,refundable
3542,coach,329,non-refundable
3542,business,640,refundable
3542,business,565,non-refundable
3542,first_class,1012,refundable
3542,first_class,912,non-refundable
3714,coach,398,refundable
3714,coach,348,non-refundable
3714,business,758,refundable
3714,business,683,non-refundable
3714,first_class,900,refundable
3714,first_class,800,non-refundable
3428,coach,262,refundable
3428,coach,212,non-refundable
3428,business,732,refundable
3428,business,657,non-refundable
3428,first_class,1058,refundable
3428,first_class,958,non-refundable
3632,coach,434,refundable
3632,coach,384,non-refundable
3632,business,748,refundable
3632,business,673,non-refundable
3632,first_class,1027,refundable
3632,first_class,927,non-refundable
3813,coach,391,refundable
3813,coach,341,non-refundable
3813,business,626,refundable
3813,business,551,non-refundable
3813,first_class,1045,refundable
3813,first_class,945,non-refundable
5754,coach,328,refundable
5754,coach,278,non-refundable
5754,business,650,refundable
5754,business,575,non-refundable
5754,first_class,971,refundable
5754,first_class,871,non-refundable
6728,coach,400,refundable
6728,coach,350,non-refundable
6728,business,703,refundable
6728,business,628,non-refundable
6728,first_class,1062,refundable
6728,first_class,962,non-refundable
8839,coach,267,refundable
8839,coach,217,non-refundable
8839,business,647,refundable
8839,business,572,non-refundable
8839,first_class,1040,refundable
8839,first_class,940,non-refundable
3173,coach,323,refundable
3173,coach,273,non-refundable
3173,business,590,refundable
3173,business,515,non-refundable
3173,first_class,1039,refundable
3173,first_class,939,non-refundable
2215,coach,405,refundable
2215,coach,355,non-refundable
2215,business,694,refundable
2215,business,619,non-refundable
2215,first_class,996,refundable
2215,first_class,896,non-refundable
6365,coach,269,refundable
6365,coach,219,non-refundable
6365,business,638,refundable
6365,business,563,non-refundable
6365,first_class,1099,refundable
6365,first_class,999,non-refundable
3927,coach,441,refundable
3927,coach,391,non-refundable
3927,business,753,refundable
3927,business,678,non-refundable
3927,first_class,935,refundable
3927,first_class,835,non-refundable
2179,coach,382,refundable
2179,coach,332,non-refundable
2179,business,630,refundable
2179,business,555,non-refundable
2179,first_class,1044,refundable
2179,first_class,944,non-refundable
1148,coach,394,refundable
1148,coach,344,non-refundable
1148,business,657,refundable
1148,business,582,non-refundable
1148,first_class,966,refundable
1148,first_class,866,non-refundable
4494,coach,441,refundable
4494,coach,391,non-refundable
4494,business,649,refundable
4494,business,574,non-refundable
4494,first_class,1011,refundable
4494,first_class,911,non-refundable
2330,coach,390,refundable
2330,coach,340,non-refundable
2330,business,622,refundable
2330,business,547,non-refundable
2330,first_class,1049,refundable
2330,first_class,949,non-refundable
2174,coach,431,refundable
2174,coach,381,non-refundable
2174,business,771,refundable
2174,business,696,non-refundable
2174,first_class,1044,refundable
2174,first_class,944,non-refundable
1217,coach,329,refundable
1217,coach,279,non-refundable
1217,business,678,refundable
1217,business,603,non-refundable
1217,first_class,1081,refundable
1217,first_class,981,non-refundable
9560,coach,372,refundable
9560,coach,322,non-refundable
9560,business,580,refundable
9560,business,505,non-refundable
9560,first_class,990,refundable
9560,first_class,890,non-refundable
1907,coach,330,refundable
1907,coach,280,non-refundable
1907,business,710,refundable
1907,business,635,non-refundable
1907,first_class,907,refundable
1907,first_class,807,non-refundable
1858,coach,408,refundable
1858,coach,358,non-refundable
1858,business,616,refundable
1858,business,541,non-refundable
1858,first_class,1052,refundable
1858,first_class,952,non-refundable
4359,coach,401,refundable
4359,coach,351,non-refundable
4359,business,655,refundable
4359,business,580,non-refundable
4359,first_class,1016,refundable
4359,first_class,916,non-refundable
7470,coach,290,refundable
7470,coach,240,non-refundable
7470,business,756,refundable
7470,business,681,non-refundable
7470,first_class,953,refundable
7470,first_class,853,non-refundable
1920,coach,287,refundable
1920,coach,237,non-refundable
1920,business,739,refundable
1920,business,664,non-refundable
1920,first_class,992,refundable
1920,first_class,892,non-refundable
4816,coach,283,refundable
4816,coach,233,non-refundable
4816,business,746,refundable
4816,business,671,non-refundable
4816,first_class,973,refundable
4816,first_class,873,non-refundable
5005,coach,345,refundable
5005,coach,295,non-refundable
5005,business,593,refundable
5005,business,518,non-refundable
5005,first_class,1099,refundable
5005,first_class,999,non-refundable
9937,coach,295,refundable
9937,coach,245,non-refundable
9937,business,746,refundable
9937,business,671,non-refundable
9937,first_class,1032,refundable
9937,first_class,932,non-refundable
3854,coach,386,refundable
3854,coach,336,non-refundable
3854,business,627,refundable
3854,business,552,non-refundable
3854,first_class,978,refundable
3854,first_class,878,non-refundable
1205,coach,360,refundable
1205,coach,310,non-refundable
1205,business,589,refundable
1205,business,514,non-refundable
1205,first_class,945,refundable
1205,first_class,845,non-refundable
5398,coach,384,refundable
5398,coach,334,non-refundable
5398,business,744,refundable
